vintage_quarter,vintage_month,accounts,matured_accounts,bad_accounts,ead,expected_loss,avg_pd,avg_score,avg_fico,avg_dti,high_dti_share,vintage_bad_rate,el_rate,maturity_status
2015Q1,2015-02,21656,21656,4198,323130225,26776963.326184046,0.2096009270036666,483.7190765775616,694.6685445142224,18.89747829700776,0.12033616549685999,0.19384927964536386,0.08286740531989555,Matured outcome usable
2015Q1,2015-03,22931,22931,4779,339895075,28339572.51228782,0.21112293713880842,482.9060538660449,693.8830840347129,19.070596136234794,0.1214949195412324,0.20840783219222886,0.08337741437497387,Matured outcome usable
2015Q2,2015-04,31785,31785,6509,465884250,38338405.150326096,0.2089717531951113,483.8980857797395,694.5786534528866,18.872636149126947,0.11568349850558439,0.20478212993550418,0.08229169616771997,Matured outcome usable
2015Q2,2015-05,28711,28711,5882,418619950,34438843.92700507,0.2089428005161062,484.0908660979133,694.7810943540803,18.817967677893492,0.11751593465918986,0.20486921389014665,0.082267564952423,Matured outcome usable
2015Q2,2015-06,25446,25446,5294,368740900,30165975.744257934,0.20822772424624833,484.42493071384877,695.4544918651261,18.79742277764678,0.11612827163404857,0.20804841625402815,0.08180805477303423,Matured outcome usable
2015Q3,2015-07,41053,41053,8300,597501225,48861992.95882542,0.20824770945413404,484.49235393624065,696.0058461013812,19.249955910652083,0.12705527001680755,0.20217767276447518,0.08177722641292562,Matured outcome usable
2015Q3,2015-08,31701,31701,6339,470799725,38006746.47154847,0.20534578366172146,485.6592020184976,695.9093877164759,18.596242705277437,0.11542222642818839,0.199962146304533,0.08072805580238702,Matured outcome usable
2015Q3,2015-09,25150,25150,5180,378938975,30490635.579036523,0.20506168454126975,485.99771457355575,696.9450298210736,18.887348310139163,0.11805168986083499,0.20596421471172963,0.08046318164827601,Matured outcome usable
2015Q4,2015-10,42986,42986,8188,624220100,50202828.28780371,0.2054009779130829,485.68363786920173,696.38926627274,18.864783650490857,0.11801516772902805,0.1904806215977295,0.08042488264604698,Matured outcome usable
2015Q4,2015-11,32907,32907,6539,475687625,38316701.582584955,0.2057964690965474,485.57970631997284,696.7335369374297,19.033146746892758,0.12295256328440757,0.1987115203452153,0.08055013325727142,Matured outcome usable
2015Q4,2015-12,39001,39001,8136,560223125,45683820.90313952,0.20732878319856596,484.88909907525033,696.18999512833,19.151718417476477,0.12522755826773674,0.2086100356401118,0.08154576072371078,Matured outcome usable
2016Q1,2016-01,28396,28396,5461,435540825,34744372.44397366,0.20252353371845863,487.195613198996,697.7977179884491,18.9792009437949,0.12297506691083251,0.19231581912945486,0.07977294078912961,Matured outcome usable
2016Q1,2016-02,34597,34597,6733,518952700,42392254.80504891,0.2071364051845351,485.1551739301565,697.1115414631327,19.553127727837676,0.13859583200855566,0.1946122496170188,0.08168808988766975,Matured outcome usable
2016Q1,2016-03,48927,48927,10590,719869100,58056207.74875975,0.20660253192557695,485.56885113856345,697.9784270443722,19.471819240909927,0.14247756862264188,0.216444907719664,0.08064828417938726,Matured outcome usable
